"","months","month","median_trp"
"1",1,"January",0.09703455
"2",2,"February",0.0954536
"3",3,"March",0.0939458
"4",4,"April",0.0958002
"5",5,"May",0.0992181
"6",6,"June",0.102727
"7",7,"July",0.104527
"8",8,"August",0.100045
"9",9,"September",0.1027325
"10",10,"October",0.09599345
"11",11,"November",0.0973756
"12",12,"December",0.0949683
