January,February,March,April,May,June,July,August,September,October,November,December
0.142205,0.11977,0.189086,0.148679,0.116311,0.0097104,0.0402069,0.129385,0.00162299,0.0364241,0.111789,0.0473581
0.0232619,0.00224739,0.0122041,0.0165945,0.0887455,0.0237455,0.245997,0.115283,0.00315606,0.148328,0.110256,0.0281173
0.000765951,0.00533134,0.179253,0.00599591,0.41819,0.0960033,0.00272239,0.186216,0.00478254,0.116631,0.0899467,0.0638425
0.00308214,0.069962,0.40388,0.134694,0.0915972,0.0443762,0.0278564,0.194271,0.119051,0.02068,0.000219802,0.127779
0.0114987,0.0010608,0.0794284,0.133626,0.0357696,0.234186,0.228285,0.0254248,0.0114376,0.114194,0.0533525,0.0816269
0.0453805,0.00283242,0.00537023,0.0156547,0.105698,0.000577431,1.2165,0.145051,0.575689,0.554114,0.0091088,0.0477475
0.00423559,0.047681,0.00361331,0.0682511,0.100968,0.0242884,0.018093,0.0995335,0.178271,0.00426265,0.128512,0.0297512
0.0694204,0.0394743,0.121349,0.020256,0.0133012,0.303256,0.0220881,0.0437131,0.0129934,0.108542,0.185639,0.122144
6.93E-02,0.103873,0.104007,0.0106532,0.00101015,0.155215,0.690437,0.109079,0.0375211,0.01366,0.0431574,0.0247404
0.152837,0.214191,0.142596,0.21628,0.0836507,0.853081,0.0673976,0.223765,0.00429102,0.0891843,0.747332,0.0929041
0.0967208,0.0298891,0.0858234,0.00465304,0.0233874,0.00265047,0.10667,0.00174331,0.193459,0.414665,0.000810892,0.12012
0.000717158,0.00221548,0.0535241,0.0429702,0.00448515,0.00151272,0.0450015,0.110692,0.00578763,0.0776379,0.212645,0.00239458
0.000574768,0.972485,0.12647,0.000880663,0.00875551,0.117591,0.110555,0.107582,0.146442,0.132709,0.195928,0.0735933
0.0856574,0.0368985,0.076877,0.024103,0.00497057,0.180064,0.0353241,0.00570256,0.00110473,0.142953,0.18074,0.133013
0.0343693,0.00437531,0.0109776,0.171444,0.00213392,0.14249,0.0581662,0.0128702,0.104479,0.000163659,0.0191622,0.0504984
0.000900508,0.036396,0.0659395,0.0225984,0.0194391,0.0162328,0.16401,0.141005,0.186216,0.130436,0.0381635,0.12031
0.000503896,0.0145193,0.14447,0.205652,0.166329,0.122831,0.130644,0.0814486,0.172361,0.0110044,0.287531,0.119301
0.123139,0.0193749,0.155371,0.224379,0.0281728,0.128047,0.0339296,0.536727,0.10585,0.000607472,0.0350452,0.00312572
0.0335016,0.00529913,0.0393895,0.0215845,0.218668,0.00251982,0.131386,0.00197534,0.156279,0.00926032,0.0201674,0.00093568
0.107953,0.0326297,0.0217349,0.0783809,0.013509,0.0740091,0.0584545,0.0215862,0.114582,0.00336455,0.111255,0.129691
0.0942063,0.0825685,0.0679865,0.0110846,0.180838,0.00558757,0.00674949,0.118767,0.00134917,0.00576509,0.00082768,0.101503
0.0487794,0.0243268,0.00024082,0.0392046,0.202374,0.0702023,0.010531,0.107672,0.0574903,0.0372789,0.00162977,0.000379588
0.105127,0.0380447,0.00106852,0.00257681,0.0722324,0.102487,0.46522,0.118927,0.101114,0.00979803,0.0234005,0.0850474
0.00670711,0.194249,0.00144256,0.317979,0.144369,0.0390404,0.0947702,0.0982163,0.0112143,0.00140257,0.0300258,0.00293828
0.158601,0.109791,0.000569067,0.0411538,0.857931,0.00467694,0.00564165,0.0477247,0.0432109,0.098266,0.0645813,0.00518593
0.0453439,0.159005,0.23457,0.0486238,0.0567095,0.0066224,0.1532,0.001831,0.0582205,0.181977,0.10012,0.111555
0.0456935,0.19528,0.115299,0.284461,0.966306,0.191896,0.646403,0.16556,0.00348497,0.20691,0.14275,0.910668
0.135282,0.0904154,0.102619,0.0696666,0.0476303,0.00146436,0.0515861,0.0653721,0.14749,0.188933,0.0526749,0.000526816
0.115515,0.0303491,0.0739156,0.071955,0.109083,0.188288,0.0691694,0.00298665,0.163619,0.118877,0.230169,0.110289
0.0982077,0.0569913,0.0266972,0.143263,0.00259787,0.163455,0.131262,0.224148,0.363971,0.0639274,0.000541849,0.00587657
0.0485403,0.0490016,0.0445587,0.00930889,0.0519892,0.0346172,0.0307315,0.0139656,0.0772183,0.112879,0.0850692,0.118104
0.0206396,0.0135282,0.0021041,0.141996,0.0961704,0.0569064,0.00310331,0.0233424,0.151563,0.132502,0.0512751,0.233314
0.0679755,0.00059977,0.0190257,0.0228888,0.00187859,0.213998,0.00594258,0.0342066,0.0920461,0.0119339,0.00293207,0.027815
0.0131804,0.0149099,0.0313992,0.0550777,0.0360821,0.183399,0.0962552,0.0128278,0.217676,0.00126103,0.0287941,0.061854
0.184161,0.000602435,0.244774,1.35823,0.0192068,0.212619,0.253455,0.23916,0.12858,0.241103,0.00101432,0.00810906
0.00156779,0.504118,0.0181065,0.191348,0.00316762,0.238991,0.0210914,0.00368624,0.00641315,0.244423,0.0528703,0.117206
0.232396,0.130889,0.00869226,0.0214314,0.155324,0.136604,0.163449,0.0728278,0.0529505,0.00107022,0.000667144,0.0646516
0.062109,0.100653,0.178022,0.245165,0.136139,0.15077,0.0880384,0.021703,0.114318,0.00342455,0.890015,0.125218
0.0494212,0.125896,0.0311291,0.252854,0.135515,0.0180865,1.0656,0.0511762,0.0312474,0.125664,0.091896,0.109241
0.168251,0.00118508,0.00349673,0.084672,0.00629183,0.161277,0.0172837,0.120025,0.121503,0.418626,0.0523169,0.241794
0.0568723,0.13773,0.0585366,0.00103147,0.00234511,0.0313209,0.256441,0.00355485,0.109854,0.0281944,0.040739,0.000500399
0.708968,0.25229,0.093048,0.0361995,0.00676539,0.00762917,0.102923,0.0260254,0.130155,0.108163,0.00250917,0.129349
0.000453865,0.0100476,0.140368,0.13655,0.127649,0.00457276,0.105973,0.139705,0.0678397,0.224086,0.158705,0.0516586
0.0458353,0.088897,0.190037,0.253963,0.136724,0.0695166,0.0935421,0.00730714,0.218589,0.100875,0.0763501,0.606299
0.137807,0.0128483,0.0917451,0.00424639,0.133011,0.0219437,0.0424843,0.00436703,0.00243167,0.106897,0.0455686,0.159155
0.0908337,0.00066815,0.10544,0.229281,0.0489493,0.00159782,0.416564,0.0018926,0.0019555,0.00113616,0.0960493,0.878374
0.0476817,0.126144,0.0712484,0.0223209,0.113093,0.219377,0.232262,0.00257793,0.820706,0.00427101,0.211032,0.0121033
0.0254922,0.145873,0.889738,0.0446951,0.0102891,0.0400235,0.104079,0.0483825,0.0235528,0.1687,0.0751074,0.00108325
0.02669,0.206716,0.10242,0.0156446,0.0770449,0.138365,0.0196691,0.742851,0.00590758,0.0217584,0.156471,0.0609928
0.0616615,0.111405,0.00665593,0.196825,0.129372,0.0923521,0.113461,0.125839,0.0904672,0.327289,0.0424847,0.177669
0.153717,0.108723,0.00872935,0.116652,0.227095,0.163106,0.14468,0.022886,0.245484,0.240003,0.119219,0.000430562
0.0279092,0.0670139,0.0762198,0.00490929,0.0140889,0.0725577,0.0431586,0.355017,0.109221,0.00196675,0.14595,0.0509087
0.0826495,0.000240865,0.00111401,0.047839,0.00289663,0.0916355,0.0127459,0.0062704,0.0215142,0.0141565,0.00356715,0.0893918
0.0443517,0.0360492,0.124885,0.0690926,0.00302023,0.126583,0.156971,0.00633267,0.00216792,0.117684,0.24365,0.0864001
0.286237,0.103818,0.0819235,0.0967523,0.00998018,0.380315,0.103362,0.021762,0.142312,0.000693668,0.131055,0.0165962
0.120328,0.118088,0.128933,0.0032402,0.246104,0.0521173,0.25432,0.102041,0.0189636,0.117988,0.0450686,0.108491
0.132983,0.241057,0.00236624,0.0776533,0.000738347,0.0279383,0.0955284,0.268291,0.0799787,0.131524,0.0957487,0.0322679
0.0254147,0.000799457,0.0847385,0.656355,0.138473,0.0338391,0.00938883,0.0144757,0.249646,0.0497007,0.0662267,0.198862
0.0042101,0.0765125,0.0198304,0.00169343,0.106839,0.0495961,0.130859,0.000575856,0.0493478,0.00106539,0.000721241,0.00274363
0.117262,0.000807356,0.101002,0.00164623,0.0545498,0.0516122,0.00425082,0.132946,0.118075,0.0245182,0.00150347,0.00631318
0.0498628,0.0956646,0.0769545,0.107735,0.00348936,0.26221,0.00371064,0.0163164,0.263692,0.00134702,0.000240081,0.000966767
0.0787366,0.0740996,0.136315,0.0856045,0.044033,0.074726,0.00382865,0.154102,0.135841,0.0487076,0.158364,0.282633
0.0995509,0.180233,0.0814981,0.182733,0.00826893,0.00551802,0.0181586,0.0276083,0.0218171,0.00125446,0.000243221,0.0404958
0.795364,0.234128,0.00541371,0.52072,0.250022,0.0903237,0.00603701,0.156633,0.111464,0.0155827,0.123159,0.0988506
0.196024,0.143594,0.000469712,0.00246858,0.0983845,0.259991,0.170606,0.0064033,0.0922518,0.0330469,0.0884963,0.0440426
0.054667,0.0017185,0.0306659,0.00149608,0.129689,0.0185606,0.201678,0.175477,0.0180867,0.110717,0.000438879,0.0423961
0.00812448,0.375729,0.112558,0.0316834,0.0121554,0.256445,0.455438,0.049205,0.153552,0.00234936,0.359932,0.1681
0.0104202,0.0300393,0.00618034,0.0903864,0.138737,0.0796431,0.0317749,0.147294,0.242212,0.0266236,0.00122685,0.0437418
0.107198,0.128888,0.101895,0.107978,0.00296265,0.802718,0.201119,0.667592,0.00406142,0.142552,0.0276567,0.00287696
0.0572381,0.00147431,0.153644,0.000453794,0.0010488,0.0903613,0.0176488,0.0571446,0.198052,0.225484,0.402829,0.100673
0.000602767,0.0868768,0.0137699,0.0490222,0.108009,0.555076,0.251827,0.370115,0.144808,0.0474782,0.000752594,0.00881368
0.0124747,0.0143348,0.220097,0.0500015,0.0206237,0.0450093,0.0759214,0.0382831,0.123394,0.01694,0.0955012,0.0168397
0.504432,0.0334188,0.035701,0.157981,0.0265396,0.00142135,0.193988,0.0566211,0.00180198,0.10595,0.00357817,0.339521
0.00402339,0.0340283,0.00125854,0.0979229,0.115644,0.11356,0.00581095,0.0127106,0.488984,0.118614,0.066839,0.0826022
0.000868476,0.00409229,0.0365197,0.810645,0.0025364,0.12736,0.00547834,0.0689744,0.110148,0.00243957,0.0820838,0.0404602
0.00139602,0.184563,0.00289118,0.0744425,0.00736356,0.224086,0.00623861,0.0932367,0.0324497,0.141784,0.00153051,0.000868169
0.0953507,0.00664463,0.0502532,0.0924607,0.0475854,0.121327,0.103284,0.156604,0.283007,0.277175,0.130445,0.0209616
0.0813448,0.216429,0.125825,0.875943,0.122944,0.0125808,0.14476,0.0305112,0.636871,0.0317036,0.00851305,0.139617
0.0969334,0.0718465,0.098125,0.0020098,0.153684,0.00965262,0.00946355,0.144939,0.237865,0.0889091,0.0261096,0.0518635
0.00356797,0.100679,0.134147,0.000845998,0.00995899,0.013407,0.00249718,0.306777,0.114296,0.00433525,0.00361535,0.141828
0.145931,0.0544065,0.0382768,0.146304,0.0588868,0.128898,0.10727,0.000710147,0.189448,0.124709,0.00730233,0.0760299
0.000293384,0.0708116,0.0135589,0.0841852,0.0939714,0.0669026,0.264295,0.0241886,0.0151167,0.0370972,0.105058,0.204711
0.00407599,0.0447281,0.0936373,0.124443,0.126515,0.194954,0.107143,0.0235607,0.233602,0.00666622,0.0981523,7.12E-04
0.0343174,0.0361847,0.00551088,0.0960755,0.290625,0.151478,0.114421,0.0979742,0.0505769,0.00703915,0.0758173,0.135528
0.087828,0.0734533,0.00162241,0.102709,0.135836,0.112004,0.161534,0.210971,0.0144719,0.0637248,0.0527705,0.581802
0.207382,0.113462,0.0133298,0.12727,0.132986,0.117797,0.145969,0.160805,0.0032579,0.0209364,0.0130393,0.000506597
0.137665,0.123811,0.204259,0.0892791,0.742542,0.097882,0.137724,0.00374262,0.129708,0.0130408,0.156179,0.0916752
0.150944,0.0436821,0.00120584,0.205831,0.0597681,0.1193,0.0179697,0.656896,0.0646267,0.012746,0.187022,0.00103285
0.0899965,0.142694,0.042076,0.00829138,0.0309455,0.00102487,0.237789,0.00850147,0.172709,0.0939566,0.101245,0.220995
0.148205,0.0557236,0.021117,0.0174044,0.0481345,0.000839612,0.560661,0.0411464,0.023831,0.106773,0.02092,0.0758412
0.0057573,0.0433352,0.00249783,0.20139,0.700076,0.0569489,0.0967238,0.135358,0.13216,0.129363,0.202089,0.0934962
0.239749,0.169556,0.00351618,0.00104631,0.182134,0.133274,0.0251848,0.0145659,0.165314,0.00457009,0.00332242,0.055916
0.148348,0.083907,0.122141,0.193016,0.00483056,0.0613848,0.0670419,0.0409423,0.00522342,0.201697,0.04272,0.00700918
0.131875,0.244956,0.130211,0.0815222,0.873092,0.108614,0.206607,0.484984,0.0454065,0.0778081,0.150769,0.0181919
0.526085,0.0003208,0.128356,0.0512656,0.0922459,0.0863082,0.00404563,0.0680173,0.00596634,0.0175147,0.0552176,0.00855779
0.0496722,0.119615,0.0379273,0.000954219,0.00238541,0.0366355,0.0355324,0.0833539,0.0958515,0.136858,0.000295608,0.0376982
0.00599383,0.0395688,0.146952,0.164091,0.0218287,0.0459242,0.199206,0.0230259,0.339593,0.0170983,0.430233,0.0230739
0.006923,0.000681126,0.0348335,0.0832123,0.295844,0.00508885,0.0621068,0.116552,0.100683,0.0109032,0.116009,0.00234578
0.000900918,0.0569106,0.187207,0.0473081,0.0672229,0.12842,0.00107485,0.10688,0.0323545,0.500047,0.000662598,0.137868
0.252797,0.113684,0.00744003,0.151866,0.112113,0.0955569,0.106582,0.0158271,0.273411,0.00134869,0.139832,0.0357394
0.00575266,0.00308829,0.0771386,0.0951389,0.003332,0.119971,0.185474,0.236674,0.047403,0.146151,0.00165611,0.0263484
0.114281,0.148011,0.000580615,0.152444,0.0945272,0.216203,0.0568,0.0287763,0.0549264,0.108312,0.151848,0.0913794
0.00359499,0.133073,0.142677,0.207355,0.119054,0.00225856,0.128973,0.0309606,0.364041,0.205816,0.00334893,0.0579819
0.0559511,0.00376197,0.067761,0.204896,0.0311213,0.00348796,0.0223908,0.103009,0.115083,0.0342271,0.00107463,0.0656886
0.125097,0.000839837,0.254176,0.25066,0.0108271,0.188301,0.119239,0.0182566,0.25435,0.00253994,0.00103157,0.000573331
0.103597,0.0062971,0.00123193,0.0967393,0.106838,0.0327555,0.389944,0.151056,0.132016,0.105873,0.118427,0.0124885
0.359198,0.00985322,0.00215505,0.0756922,0.0457092,0.0235098,0.142772,0.20779,0.0127045,0.0457424,0.00938046,0.223299
0.0218484,0.0104851,0.14686,0.0245921,0.121941,0.107342,0.00540842,0.00465271,0.0777379,0.160204,0.00197672,0.104453
0.00847848,0.150783,0.144595,0.162923,0.0393211,0.0296387,0.476983,0.246334,0.0742914,0.166975,0.000296567,0.00276793
0.136149,0.253758,0.087744,0.129207,0.00172029,0.00354572,0.0672174,0.0420829,0.0672317,0.120766,0.543875,0.126646
0.12793,0.00836811,0.128043,0.106901,0.142929,0.0139548,0.778195,0.0539934,0.0476639,0.141286,0.0161815,0.103214
0.0885976,0.146633,0.0787274,0.00766808,0.226359,0.185687,0.00271651,0.00212387,0.106618,0.123014,0.0243642,0.146076
0.218611,0.00363369,0.114674,0.786816,0.134679,0.327846,0.0858853,0.00215084,0.205389,0.0529325,0.626115,0.000247697
0.101871,0.132973,0.0783117,0.0702631,0.00929045,0.090993,0.169928,0.149617,0.112076,0.101317,0.000438387,0.0447714
0.0600304,0.0764001,0.0767393,0.00862897,1.06147,0.151383,0.136544,0.00289029,0.147775,0.174665,0.223309,0.0302643
0.0756087,0.0398991,0.12224,0.0466695,0.142086,0.195033,0.202,0.0385648,0.232706,0.0899786,0.000553573,0.0902053
0.162806,0.052103,0.0453104,0.101201,0.00154256,0.173952,0.0113634,0.0469552,0.0446009,0.0655503,0.0123865,0.0349815
0.0026837,0.217416,0.0684667,0.144501,0.689642,0.0699887,0.273204,0.0727231,0.14717,0.194982,0.00717467,0.00205515
0.139652,0.0637568,0.0119921,0.0424551,0.0281364,0.00899624,0.0322828,0.110285,0.606378,0.000845425,0.233409,0.412196
0.0969823,0.0256792,0.023972,0.0558148,0.0540157,0.0605236,0.00386945,0.03262,0.209317,0.0178653,0.00226085,0.00259358
0.0282347,0.0314357,0.0767365,0.109927,0.0774879,0.0205827,0.0414658,0.0778185,0.00502131,0.00209998,0.0797858,0.123765
0.0226009,0.0504633,0.0478188,0.121488,0.0298647,0.0303945,0.170401,0.179179,0.0317801,0.127845,0.101669,0.0130726
